20180308041452
PyPOFacetsModular.py
BOX
input_data_file_001.dat
15000000
0
0
0
0
0
1
0
360
2
0 [(1+0j), 0j, (-0+0j)]
87 [(-0.9945218953682733+0j), 0j, (-0.10452846326765373+0j)]
88 [(-0.9975640502598242+0j), 0j, (-0.06975647374412552+0j)]
89 [(-0.9993908270190958+0j), 0j, (-0.03489949670250114+0j)]
90 [(-1+0j), 0j, (-1.2246467991473532e-16+0j)]
91 [(-0.9993908270190958+0j), 0j, (0.0348994967025009+0j)]
92 [(-0.9975640502598242+0j), 0j, (0.06975647374412527+0j)]
93 [(-0.9945218953682733+0j), 0j, (0.1045284632676535+0j)]
94 [(-0.9902680687415703+0j), 0j, (0.13917310096006552+0j)]
95 [(-0.984807753012208+0j), 0j, (0.17364817766693047+0j)]
96 [(-0.9781476007338056+0j), 0j, (0.2079116908177595+0j)]
97 [(-0.9702957262759965+0j), 0j, (0.2419218955996675+0j)]
98 [(-0.9612616959383189+0j), 0j, (0.275637355816999+0j)]
99 [(-0.9510565162951536+0j), 0j, (0.3090169943749473+0j)]
100 [(-0.9396926207859084+0j), 0j, (0.34202014332566866+0j)]
101 [(-0.9271838545667874+0j), 0j, (0.374606593415912+0j)]
102 [(-0.9135454576426009+0j), 0j, (0.4067366430758002+0j)]
103 [(-0.8987940462991669+0j), 0j, (0.43837114678907746+0j)]
104 [(-0.8829475928589269+0j), 0j, (0.46947156278589086+0j)]
105 [(-0.8660254037844386+0j), 0j, (0.5000000000000001+0j)]
106 [(-0.8480480961564261+0j), 0j, (0.5299192642332048+0j)]
107 [(-0.8290375725550418+0j), 0j, (0.5591929034707467+0j)]
108 [(-0.8090169943749476+0j), 0j, (0.587785252292473+0j)]
109 [(-0.788010753606722+0j), 0j, (0.6156614753256582+0j)]
110 [(-0.766044443118978+0j), 0j, (0.6427876096865393+0j)]
111 [(-0.7431448254773942+0j), 0j, (0.6691306063588582+0j)]
112 [(-0.7193398003386511+0j), 0j, (0.6946583704589974+0j)]
113 [(-0.6946583704589973+0j), 0j, (0.7193398003386512+0j)]
114 [(-0.6691306063588581+0j), 0j, (0.7431448254773944+0j)]
115 [(-0.6427876096865395+0j), 0j, (0.7660444431189779+0j)]
116 [(-0.6156614753256581+0j), 0j, (0.7880107536067221+0j)]
117 [(-0.5877852522924732+0j), 0j, (0.8090169943749473+0j)]
118 [(-0.5591929034707466+0j), 0j, (0.8290375725550418+0j)]
119 [(-0.529919264233205+0j), 0j, (0.848048096156426+0j)]
120 [(-0.5000000000000004+0j), 0j, (0.8660254037844384+0j)]
121 [(-0.46947156278589075+0j), 0j, (0.882947592858927+0j)]
122 [(-0.43837114678907774+0j), 0j, (0.8987940462991668+0j)]
123 [(-0.4067366430758001+0j), 0j, (0.913545457642601+0j)]
124 [(-0.3746065934159123+0j), 0j, (0.9271838545667873+0j)]
125 [(-0.34202014332566855+0j), 0j, (0.9396926207859084+0j)]
126 [(-0.30901699437494756+0j), 0j, (0.9510565162951535+0j)]
127 [(-0.2756373558169989+0j), 0j, (0.961261695938319+0j)]
128 [(-0.24192189559966779+0j), 0j, (0.9702957262759965+0j)]
129 [(-0.2079116908177598+0j), 0j, (0.9781476007338056+0j)]
130 [(-0.17364817766693033+0j), 0j, (0.984807753012208+0j)]
131 [(-0.13917310096006583+0j), 0j, (0.9902680687415703+0j)]
