20180307005505
PyPOFacetsMonolithic.py
BOX
input_data_file_001.dat
15000000
0
0
0
0
0
1
0
360
2
0 [0.0, 0.0, 1.0]
1 [0.03489949670250097, 0.0, 0.9993908270190958]
2 [0.0697564737441253, 0.0, 0.9975640502598242]
3 [0.10452846326765347, 0.0, 0.9945218953682733]
4 [0.13917310096006544, 0.0, 0.9902680687415704]
5 [0.17364817766693033, 0.0, 0.984807753012208]
6 [0.20791169081775934, 0.0, 0.9781476007338057]
7 [0.24192189559966773, 0.0, 0.9702957262759965]
8 [0.27563735581699916, 0.0, 0.9612616959383189]
9 [0.3090169943749474, 0.0, 0.9510565162951535]
10 [0.3420201433256687, 0.0, 0.9396926207859084]
11 [0.374606593415912, 0.0, 0.9271838545667874]
12 [0.4067366430758002, 0.0, 0.9135454576426009]
13 [0.4383711467890774, 0.0, 0.898794046299167]
14 [0.4694715627858908, 0.0, 0.882947592858927]
15 [0.49999999999999994, 0.0, 0.8660254037844387]
16 [0.5299192642332049, 0.0, 0.848048096156426]
17 [0.5591929034707469, 0.0, 0.8290375725550416]
18 [0.5877852522924731, 0.0, 0.8090169943749475]
19 [0.6156614753256583, 0.0, 0.7880107536067219]
20 [0.6427876096865393, 0.0, 0.766044443118978]
21 [0.6691306063588582, 0.0, 0.7431448254773942]
22 [0.6946583704589973, 0.0, 0.7193398003386512]
23 [0.7193398003386511, 0.0, 0.6946583704589973]
24 [0.7431448254773942, 0.0, 0.6691306063588582]
25 [0.766044443118978, 0.0, 0.6427876096865394]
26 [0.788010753606722, 0.0, 0.6156614753256583]
27 [0.8090169943749475, 0.0, 0.5877852522924731]
28 [0.8290375725550417, 0.0, 0.5591929034707468]
29 [0.848048096156426, 0.0, 0.5299192642332049]
30 [0.8660254037844386, 0.0, 0.5000000000000001]
31 [0.8829475928589269, 0.0, 0.46947156278589086]
32 [0.898794046299167, 0.0, 0.43837114678907746]
33 [0.9135454576426009, 0.0, 0.4067366430758002]
34 [0.9271838545667874, 0.0, 0.37460659341591196]
35 [0.9396926207859083, 0.0, 0.3420201433256688]
36 [0.9510565162951535, 0.0, 0.30901699437494745]
37 [0.9612616959383189, 0.0, 0.27563735581699916]
38 [0.9702957262759965, 0.0, 0.24192189559966767]
39 [0.9781476007338056, 0.0, 0.20791169081775945]
40 [0.984807753012208, 0.0, 0.17364817766693041]
41 [0.9902680687415704, 0.0, 0.13917310096006547]
42 [0.9945218953682733, 0.0, 0.10452846326765346]
43 [0.9975640502598242, 0.0, 0.06975647374412523]
44 [0.9993908270190958, 0.0, 0.03489949670250108]
45 [1.0, 0.0, 6.123233995736766e-17]
46 [0.9993908270190958, 0.0, -0.034899496702500955]
47 [0.9975640502598242, 0.0, -0.06975647374412533]
48 [0.9945218953682733, 0.0, -0.10452846326765355]
49 [0.9902680687415704, 0.0, -0.13917310096006535]
50 [0.984807753012208, 0.0, -0.1736481776669303]
51 [0.9781476007338057, 0.0, -0.20791169081775934]
52 [0.9702957262759965, 0.0, -0.24192189559966779]
53 [0.9612616959383189, 0.0, -0.27563735581699905]
54 [0.9510565162951536, 0.0, -0.30901699437494734]
55 [0.9396926207859084, 0.0, -0.3420201433256687]
56 [0.9271838545667874, 0.0, -0.37460659341591207]
57 [0.9135454576426009, 0.0, -0.40673664307580026]
58 [0.8987940462991669, 0.0, -0.4383711467890775]
59 [0.8829475928589269, 0.0, -0.4694715627858909]
60 [0.8660254037844387, 0.0, -0.4999999999999998]
61 [0.8480480961564261, 0.0, -0.5299192642332048]
62 [0.8290375725550417, 0.0, -0.5591929034707467]
63 [0.8090169943749475, 0.0, -0.587785252292473]
64 [0.788010753606722, 0.0, -0.6156614753256583]
65 [0.766044443118978, 0.0, -0.6427876096865394]
66 [0.7431448254773942, 0.0, -0.6691306063588582]
67 [0.7193398003386511, 0.0, -0.6946583704589974]
68 [0.6946583704589971, 0.0, -0.7193398003386512]
69 [0.6691306063588583, 0.0, -0.743144825477394]
70 [0.6427876096865395, 0.0, -0.7660444431189779]
71 [0.6156614753256584, 0.0, -0.7880107536067219]
72 [0.5877852522924732, 0.0, -0.8090169943749473]
73 [0.5591929034707469, 0.0, -0.8290375725550416]
74 [0.5299192642332049, 0.0, -0.848048096156426]
75 [0.49999999999999994, 0.0, -0.8660254037844387]
76 [0.4694715627858907, 0.0, -0.882947592858927]
77 [0.4383711467890773, 0.0, -0.898794046299167]
78 [0.40673664307580043, 0.0, -0.9135454576426008]
79 [0.37460659341591224, 0.0, -0.9271838545667873]
80 [0.3420201433256689, 0.0, -0.9396926207859083]
81 [0.3090169943749475, 0.0, -0.9510565162951535]
82 [0.2756373558169992, 0.0, -0.9612616959383189]
83 [0.24192189559966773, 0.0, -0.9702957262759965]
84 [0.20791169081775931, 0.0, -0.9781476007338057]
85 [0.17364817766693028, 0.0, -0.984807753012208]
86 [0.13917310096006533, 0.0, -0.9902680687415704]
87 [0.10452846326765373, 0.0, -0.9945218953682733]
88 [0.06975647374412552, 0.0, -0.9975640502598242]
89 [0.03489949670250114, 0.0, -0.9993908270190958]
90 [1.2246467991473532e-16, 0.0, -1.0]
91 [-0.0348994967025009, -0.0, -0.9993908270190958]
92 [-0.06975647374412527, -0.0, -0.9975640502598242]
93 [-0.1045284632676535, -0.0, -0.9945218953682733]
94 [-0.13917310096006552, -0.0, -0.9902680687415703]
95 [-0.17364817766693047, -0.0, -0.984807753012208]
96 [-0.2079116908177595, -0.0, -0.9781476007338056]
97 [-0.2419218955996675, -0.0, -0.9702957262759965]
